Year,481,482,483
2001,0.169 (0.017),NA,NA
2002,NA,NA,0.199 (0.008)
2004,0.158 (0.009),0.274 (0.004),NA
2005,0.253 (0.004),0.313 (0.019),0.109 (0.001)
2006,0.262 (0.013),NA,0.185 (0.007)
2007,0.199 (0.01),0.112 (0.003),0.082 (0.003)
2008,0.069 (0.008),0.165 (0.008),0.189 (0.004)
2009,0.264 (0.019),0.328 (0.009),NA
2010,0.225 (0.003),0.426 (0.004),0.154 (0.007)
2011,0.409 (0.009),0.235 (0.004),0.143 (0.002)
2012,0.412 (0.006),0.089 (0.004),0.187 (0.002)
2013,0.135 (0.001),0.259 (0.007),0.292 (0.003)
2014,0.215 (0.002),0.25 (0.009),0.155 (0.002)
2015,0.215 (0.002),0.151 (0.005),0.229 (0.002)
2016,0.285 (0.008),0.31 (0.011),0.188 (0.003)
2017,0.217 (0.004),0.158 (0.003),0.178 (0.007)
2018,0.224 (0.002),0.186 (0.006),0.31 (0.016)
2019,0.219 (0.004),0.335 (0.007),0.143 (0.004)
2020,0.114 (0.003),0.217 (0.003),0.224 (0.002)
2021,0.225 (0.002),0.379 (0.004),NA
2022,0.876 (0.006),0.271 (0.004),0.244 (0.005)
2023,0.359 (0.003),0.358 (0.006),0.311 (0.004)
